qid,stage_id,stage_type,sub,model,should_exit,verdict,p,answer_snip,prompt_tokens,completion_tokens,cost,sd_full_tokens,sd_full_cost,sd_compressed_tokens,sd_compressed_cost,sd_savings_tokens,sd_savings_cost
1,s0,BaselineAsk,,echo,False,,,A:,23,1,2.4e-05,,,,,,
1,s1,APOStage,helper,echo,False,,,Q: Who received the IEEE Frank Rosenblatt Award in 2010?,55,14,6.9e-05,,,,,,
1,s1,APOStage,target,echo,False,,,Q: Who received the IEEE Frank Rosenblatt Award in 2010?,23,14,3.7e-05,,,,,,
1,s2,CoVeStage,,echo,False,,,Give only the corrected final answer.,61,9,7e-05,,,,,,
2,s0,BaselineAsk,,echo,False,,,A:,26,1,2.7e-05,,,,,,
2,s1,APOStage,helper,echo,False,,,Q: Who was awarded the Oceanography Society's Jerlov Award in 2018?,58,16,7.4e-05,,,,,,
2,s1,APOStage,target,echo,False,,,Q: Who was awarded the Oceanography Society's Jerlov Award in 2018?,25,16,4.1e-05,,,,,,
2,s2,CoVeStage,,echo,False,,,Give only the corrected final answer.,66,9,7.5e-05,,,,,,
3,s0,BaselineAsk,,echo,False,,,A:,30,1,3.1e-05,,,,,,
3,s1,APOStage,helper,echo,False,,,"Q: What's the name of the women's liberal arts college in Cambridge, Massachusetts?",62,20,8.2e-05,,,,,,
3,s1,APOStage,target,echo,False,,,"Q: What's the name of the women's liberal arts college in Cambridge, Massachusetts?",29,20,4.9e-05,,,,,,
3,s2,CoVeStage,,echo,False,,,Give only the corrected final answer.,74,9,8.3e-05,,,,,,
4,s0,BaselineAsk,,echo,False,,,A:,24,1,2.4999999999999998e-05,,,,,,
4,s1,APOStage,helper,echo,False,,,Q: In whose honor was the Leipzig 1877 tournament organized?,56,15,7.099999999999999e-05,,,,,,
4,s1,APOStage,target,echo,False,,,Q: In whose honor was the Leipzig 1877 tournament organized?,24,15,3.9e-05,,,,,,
4,s2,CoVeStage,,echo,False,,,Give only the corrected final answer.,63,9,7.2e-05,,,,,,
5,s0,BaselineAsk,,echo,False,,,A:,46,1,4.7e-05,,,,,,
5,s1,APOStage,helper,echo,False,,,"Q: According to Karl Küchler, what did Empress Elizabeth of Austria's favorite sculpture depict, which was made for her villa Achilleion at Corfu?",78,36,0.00011399999999999999,,,,,,
5,s1,APOStage,target,echo,False,,,"Q: According to Karl Küchler, what did Empress Elizabeth of Austria's favorite sculpture depict, which was made for her villa Achilleion at Corfu?",45,36,8.099999999999999e-05,,,,,,
5,s2,CoVeStage,,echo,False,,,Give only the corrected final answer.,106,9,0.00011499999999999999,,,,,,
